76,0
Air Baron,1
Evan Davis (I),2
The Avalon Hill Game Co,3
Kurt Miller,4
1996,5
2,6
6,7
120,8
10,9
781,10
6.40,11
5.71,12
5717,13
0,14
324,15
95,16
2.55,17
1.55,18
1040,19
65,20
24,21
69,22
C:\Users\thoma\Downloads\bgg1toolu\img\000076.jpg,23
"Aviation / Flight, Economic, Territory Building",24
"Area Majority / Influence, Chit-Pull System, Dice Rolling",25
N,26
P,27
R,28
B,29
"Airlines vie for control of the American skies in this hybrid business/war game. Each turn, the active player decides whether make an investment or, to forgo income for a round and enter Fare Wars. In Fare Wars, players pay and roll dice to take over individual spokes to control major-city hubs. Income is generated by randomly drawing purchased spokes and controlled hubs. When a player, on their turn with no outstanding loans, has a mix of market share and cash on hand that equals or exceeds the winning tar...",30
27.64,31
Strategy Games,32
11.14,33
