82,0
Bobby Lee: The Civil War in Virginia 1861-1865,1
Tom Dalgliesh,2
Columbia Games,3
Eric Hotz,4
1993,5
2,6
240,7
12,8
379,9
6.77,10
5.68,11
6402,12
844,13
234,14
51,15
2.94,16
1.51,17
0,18
984,19
73,20
31,21
94,22
C:\Users\thoma\Downloads\bgg1toolu\img\000082.jpg,23
"American Civil War, Wargame",24
"Dice Rolling, Secret Unit Deployment",25
N,26
B,27
"Bobby Lee covers the eastern theater of the American Civil War around the Virginia area from 1861-1865.  It comes with a beautiful card-stock map of Maryland, Pennsylvania and Eastern Virginia and heaps of wooden blocks for the North and South.  The game utilizes both a strategic layer of the conflict but also provides a slightly more tactical layer of combat with additional battle maps that allow for center, and flank positions of specific units.  The game can be combined with Sam Grant so that both theate...",28
"83, 83",29
"Sam Grant: The Civil War in the West 1862-1864, Sam Grant: The Civil War in the West 1862-1864",30
29.85,31
Wargames,32
"Components: Block Wargames, Country: USA, Crowdfunding: Kickstarter, Digital Implementations: VASSAL, Players: Two-Player Only Games, Players: Wargames with Rules Supporting Only Two Players, States: Virginia",33
14,34
